search_query,competitor_brand,name,url,source_type
Toe Kick 8,Cabinet Set,M6-OW-TKC,https://www.cabinetset.com/tkc-springfield-white ,direct_website
Large Crown 8,Cabinet Set,M6-OW-COV,https://www.cabinetset.com/cov-springfield-white ,direct_website
B24,Cabinet Set,M6-OW-B24,https://www.cabinetset.com/b24-springfield-white-rta ,direct_website
SB36,Cabinet Set,M6-OW-SB36,https://www.cabinetset.com/sb36-springfield-white-rta ,direct_website
B18,Cabinet Set,M6-OW-B18,https://www.cabinetset.com/b18-springfield-white-rta ,direct_website
DB24,Cabinet Set,M6-OW-DB24,https://www.cabinetset.com/db24-springfield-white-rta ,direct_website
B09-FH,Cabinet Set,M6-OW-BT9,https://www.cabinetset.com/b9-springfield-white-rta ,direct_website
B30,Cabinet Set,M6-OW-B30S,https://www.cabinetset.com/b30s-springfield-white-rta ,direct_website
W2436,Cabinet Set,M6-OW-W2436,https://www.cabinetset.com/w2436-springfield-white-rta ,direct_website
W3036,Cabinet Set,M6-OW-W3036,https://www.cabinetset.com/w3036-springfield-white-rta ,direct_website
W361824,Cabinet Set,M6-OW-W361824,https://www.cabinetset.com/rw3618-springfield-white-rta ,direct_website
LS36,Cabinet Set,M6-OW-LSB36,https://www.cabinetset.com/ls3612-springfield-white-rta ,direct_website
DWR3,Cabinet Set,M6-OW-DWR3,https://www.cabinetset.com/dwr3-springfield-white ,direct_website
Toe Kick 8,The RTA Store,SW-TKC,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-96-toe-kick-422352-47763.html ,direct_website
Large Crown 8,The RTA Store,SW-COV,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-96-cove-crown-molding-47757.html ,direct_website
B24,The RTA Store,SW-B24,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-24-base-cabinet-47588.html ,direct_website
SB36,The RTA Store,SW-SB36,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-36-sink-base-cabinet-422359-47706.html ,direct_website
B18,The RTA Store,SW-B18,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-18-base-cabinet-47557.html ,direct_website
DB24,The RTA Store,SW-3DB24,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-24-3-drawer-base-cabinet-47583.html ,direct_website
B09-FH,The RTA Store,SW-BT9,https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-09-base-tray-cabinet-47514.html ,direct_website
