Reference Brand,Reference Product,Search Query,Competitor Brand,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Buck Mason,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Bonobos,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Everlane,
Taylor Stitch,The Jack Shirt,men's oxford shirt,J.Crew,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Alex Mill,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Frank & Oak,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Todd Snyder,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Mizzen+Main,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Charles Tyrwhitt,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Taylor Stitch,
Taylor Stitch,The Jack Shirt,men's oxford shirt,Marine Layer,
Taylor Stitch,The Chore Pant,men's work pants,Carhartt WIP,
Taylor Stitch,The Chore Pant,men's work pants,Dickies,
Taylor Stitch,The Chore Pant,men's work pants,Flint and Tinder,
Taylor Stitch,The Chore Pant,men's work pants,Alex Mill,
Taylor Stitch,The Chore Pant,men's work pants,Levi's,
Taylor Stitch,The Chore Pant,men's work pants,Bonobos,
Taylor Stitch,The Chore Pant,men's work pants,Patagonia,
Taylor Stitch,The Chore Pant,men's work pants,Outerknown,
Taylor Stitch,The Chore Pant,men's work pants,Everlane,
Taylor Stitch,The Chore Pant,men's work pants,Uniqlo,
Taylor Stitch,The Chore Pant,men's work pants,Taylor Stitch,
Taylor Stitch,The Democratic Chino,men's chinos,Bonobos,
Taylor Stitch,The Democratic Chino,men's chinos,Dockers,
Taylor Stitch,The Democratic Chino,men's chinos,Banana Republic,
Taylor Stitch,The Democratic Chino,men's chinos,J.Crew,
Taylor Stitch,The Democratic Chino,men's chinos,Everlane,
Taylor Stitch,The Democratic Chino,men's chinos,Uniqlo,
Taylor Stitch,The Democratic Chino,men's chinos,Club Monaco,
Taylor Stitch,The Democratic Chino,men's chinos,Rhone,
Taylor Stitch,The Democratic Chino,men's chinos,Ministry of Supply,
Taylor Stitch,The Democratic Chino,men's chinos,Lululemon,
Taylor Stitch,The Democratic Chino,men's chinos,Taylor Stitch,
Taylor Stitch,The Democratic Chino,men's chinos,Marine Layer,
Taylor Stitch,The Democratic Chino,men's chinos,Faherty,
Taylor Stitch,The Apres Pant,men's lounge pants,Vuori,
Taylor Stitch,The Apres Pant,men's lounge pants,Lululemon,
Taylor Stitch,The Apres Pant,men's lounge pants,Outdoor Voices,
Taylor Stitch,The Apres Pant,men's lounge pants,Rhone,
Taylor Stitch,The Apres Pant,men's lounge pants,Public Rec,
Taylor Stitch,The Apres Pant,men's lounge pants,Mack Weldon,
Taylor Stitch,The Apres Pant,men's lounge pants,Olivers,
Taylor Stitch,The Apres Pant,men's lounge pants,Reigning Champ,
Taylor Stitch,The Apres Pant,men's lounge pants,Nike,
Taylor Stitch,The Apres Pant,men's lounge pants,Adidas,
Taylor Stitch,The Apres Pant,men's lounge pants,Taylor Stitch,
Taylor Stitch,The Ojai Jacket,men's chore coat,Alex Mill,
Taylor Stitch,The Ojai Jacket,men's chore coat,Universal Works,
Taylor Stitch,The Ojai Jacket,men's chore coat,Engineered Garments,
Taylor Stitch,The Ojai Jacket,men's chore coat,Carhartt WIP,
Taylor Stitch,The Ojai Jacket,men's chore coat,Norse Projects,
Taylor Stitch,The Ojai Jacket,men's chore coat,Faherty,
Taylor Stitch,The Ojai Jacket,men's chore coat,Wallace & Barnes,
Taylor Stitch,The Ojai Jacket,men's chore coat,Filson,
Taylor Stitch,The Ojai Jacket,men's chore coat,Barbour,
Taylor Stitch,The Ojai Jacket,men's chore coat,Levi's,
Taylor Stitch,The Ojai Jacket,men's chore coat,Taylor Stitch,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Everlane,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Pact,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Alternative Apparel,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Kotn,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Tentree,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Outerknown,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Allbirds,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Patagonia,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Bombas,
Taylor Stitch,The Organic Cotton Shop Tee,men's organic cotton t-shirt,Marine Layer,
