catalog_id,merchant,price,currency,in_stock,timestamp
prod_6fa8b3f64bf24687952ac521d283a48d,Ledge Lounger,4399,USD,TRUE,4/15/2025 10:59
prod_5da9c1aaa5b44f3da3da9f1e87f3abe6,Ledge Lounger,2099,USD,TRUE,4/15/2025 10:59
prod_403f7f4c074142d98a9e359419b94912,Ledge Lounger,8900,USD,TRUE,4/15/2025 10:59
prod_5bbf066888e04630826d5f22d1f70a0f,Ledge Lounger,999,USD,TRUE,4/15/2025 10:59
prod_c4dc28ddd0a14975b24b80d4ec13b161,Ledge Lounger,3495,USD,TRUE,4/15/2025 10:59
prod_294ab7139f4648e08f4fdd5dffcb2457,Ledge Lounger,2299,USD,TRUE,4/15/2025 10:59
prod_dd87948a503e43ca91f773cb82c3c138,Ledge Lounger,969,USD,TRUE,4/15/2025 10:59
prod_cc17020d9c35424a84faef4acc5dd6eb,Ledge Lounger,199,USD,TRUE,4/15/2025 10:59
prod_cc17020d9c35424a84faef4acc5dd6eb,Ledge Lounger,199,USD,TRUE,4/14/2025 15:41
prod_f5e2d944455e4da2a0e85d1f878e9297,Taylor Stitch,76.8,USD,TRUE,4/15/2025 10:59
prod_f5e2d944455e4da2a0e85d1f878e9297,Taylor Stitch,76.8,USD,TRUE,4/14/2025 15:41
prod_7383869abdb6439f99d92ccbb44ddbc7,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_7383869abdb6439f99d92ccbb44ddbc7,Taylor Stitch,138,USD,TRUE,4/14/2025 15:41
prod_0107b1ca56f14fca86288bf46ea95969,Taylor Stitch,168,USD,TRUE,4/15/2025 10:59
prod_0107b1ca56f14fca86288bf46ea95969,Taylor Stitch,168,USD,TRUE,4/14/2025 15:41
prod_b7668c4512b34b3781aa91c5ffb34db8,Taylor Stitch,118,USD,TRUE,4/15/2025 10:59
prod_b7668c4512b34b3781aa91c5ffb34db8,Taylor Stitch,118,USD,TRUE,4/14/2025 15:41
prod_cc26525944e54fa5bd0930249295ebf4,Manready Mercantile,138,USD,TRUE,4/15/2025 10:59
prod_cc26525944e54fa5bd0930249295ebf4,Manready Mercantile,138,USD,TRUE,4/14/2025 15:41
prod_edf2f602b6fd4e76b4ad1922927a95c8,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_edf2f602b6fd4e76b4ad1922927a95c8,Taylor Stitch,138,USD,TRUE,4/14/2025 15:41
prod_ac3c0c240fd446a8995e2efab54b59c1,eBay - the.deal.ninja,89.99,USD,TRUE,4/15/2025 10:59
prod_bf20366a69f04d7ea13a390f23112529,Taylor Stitch,118,USD,TRUE,4/15/2025 10:59
prod_a09d2946928948be85d6f792b6da0559,Taylor Stitch,138,USD,TRUE,4/15/2025 10:59
prod_a09d2946928948be85d6f792b6da0559,Taylor Stitch,138,USD,TRUE,4/14/2025 15:41
prod_bbd7e8204dc24a79b0730a11c7037e9c,Taylor Stitch,118,USD,TRUE,4/15/2025 10:59
prod_fe5b39059a994480ad60accd87f1ef1c,Taylor Stitch,118,USD,TRUE,4/15/2025 10:59
prod_fe5b39059a994480ad60accd87f1ef1c,Taylor Stitch,118,USD,TRUE,4/14/2025 15:41
prod_6051ab8a9f7a43f6b9f6034c459cf8e8,eBay - brcexchange2000,24.99,USD,TRUE,4/15/2025 10:59
prod_c17a850686be47d888fa40f04b7c2d87,Mizzen+Main,99,USD,TRUE,4/15/2025 10:59
prod_e8c0bfb71c7f405d902ea80c05d98c8d,Mizzen+Main,138,USD,TRUE,4/15/2025 10:59
prod_e8c0bfb71c7f405d902ea80c05d98c8d,Mizzen+Main,138,USD,TRUE,4/14/2025 15:41
prod_8ccaae807c50427db9586c2c8bd17eb1,Mizzen+Main,99,USD,TRUE,4/15/2025 10:59
prod_8ccaae807c50427db9586c2c8bd17eb1,Mizzen+Main,99,USD,TRUE,4/14/2025 15:41
prod_d30a05b166fc48bdaddddfcc685241f7,Mizzen+Main,118,USD,TRUE,4/15/2025 10:59
prod_d30a05b166fc48bdaddddfcc685241f7,Mizzen+Main,118,USD,TRUE,4/14/2025 15:41
prod_101c67bbdf504884a943c598eb94d672,Mizzen+Main,138,USD,TRUE,4/15/2025 10:59
prod_101c67bbdf504884a943c598eb94d672,Mizzen+Main,138,USD,TRUE,4/14/2025 15:41
prod_7747a415241444fe980676c7c5e30571,Mizzen+Main,178,USD,TRUE,4/15/2025 10:59
prod_7747a415241444fe980676c7c5e30571,Mizzen+Main,178,USD,TRUE,4/14/2025 15:41
prod_f760f41777c1494bb73ac98800b0b6cd,Mizzen+Main,178,USD,TRUE,4/15/2025 10:59
prod_9aab9f36fd9b4b55b365081b851b7068,Mizzen+Main,119,USD,TRUE,4/15/2025 10:59
prod_58bd1a4309274f56b3580fa3b814741e,Mizzen+Main,138,USD,TRUE,4/15/2025 10:59
prod_58bd1a4309274f56b3580fa3b814741e,Mizzen+Main,138,USD,TRUE,4/14/2025 15:41
prod_5849c25cc71b4be1ae4ef50db514a267,Mizzen+Main,99,USD,TRUE,4/15/2025 10:59
prod_d37934e8d1cd4aee8af29f4c09d9f1e9,Taylor Stitch,188,USD,TRUE,4/14/2025 15:41
prod_ef1d1206861e4e55854248a0a9239ab4,Taylor Stitch,228,USD,TRUE,4/15/2025 10:59
prod_ef1d1206861e4e55854248a0a9239ab4,Taylor Stitch,228,USD,TRUE,4/14/2025 15:41
prod_286917e0b8794d879c660952aaecd1a7,Taylor Stitch,138.6,USD,TRUE,4/15/2025 10:59
prod_286917e0b8794d879c660952aaecd1a7,Taylor Stitch,138.6,USD,TRUE,4/14/2025 15:41
prod_e18155607d5446cfaed3b4aed7bb5f0f,eBay - the.deal.ninja,149.99,USD,TRUE,4/15/2025 10:59
prod_189962ac7d174d1597f143585cb310da,Taylor Stitch,198,USD,TRUE,4/15/2025 10:59
prod_189962ac7d174d1597f143585cb310da,Taylor Stitch,198,USD,TRUE,4/14/2025 15:41
prod_17f5735cffa84778ab808c52b026ea2a,Carhartt Work in Progress,145,USD,TRUE,4/15/2025 10:59
prod_db8b0c6cf5204b0382deb829137884eb,Carhartt Work in Progress,128,USD,TRUE,4/15/2025 10:59
prod_6f4cd2fb0e9441faa88c8a5d97a91352,High Class Hillbilly,225,USD,FALSE,4/15/2025 10:59
prod_f5bd547967c14c9fa0a955409f2654bb,Levi's,128,USD,FALSE,4/15/2025 10:59
prod_f5bd547967c14c9fa0a955409f2654bb,Levi's,128,USD,FALSE,4/14/2025 15:41
prod_e171515d35774170a39b239a9c5fd5d5,Levi's,74.98,USD,FALSE,4/15/2025 10:59
prod_e171515d35774170a39b239a9c5fd5d5,Levi's,74.98,USD,FALSE,4/14/2025 15:41
prod_ac68aaa5d7df44f48489e7d39a384615,Etsy - slayvin,97.75,USD,FALSE,4/15/2025 10:59
prod_dfcbf85f5b754a34a0d663df2b0cbfb4,eBay - rade7266,80.25,USD,FALSE,4/15/2025 10:59
prod_dfcbf85f5b754a34a0d663df2b0cbfb4,eBay - rade7266,80.25,USD,FALSE,4/14/2025 15:41
prod_0ca2bfe7543543eebf7c7a0c74672c2c,Amazon.com,73.85,USD,TRUE,4/15/2025 10:59
prod_d442fb53af2c4a22b6b53676a7bf157d,Amazon.com,47.16,USD,TRUE,4/15/2025 10:59
prod_a9b621555f16422ba4db5d89e0f32d13,Kohl's,78,USD,TRUE,4/15/2025 10:59
prod_a9b621555f16422ba4db5d89e0f32d13,Lyst,60,USD,FALSE,4/14/2025 15:41
prod_f6d754204702464d80c1734a10bdce72,eBay - rigoyer28,74.28,USD,TRUE,4/15/2025 10:59
prod_972e8ae88f334b3a919416517656346d,Amazon.com,70,USD,TRUE,4/15/2025 10:59
prod_5514909dcd5541328254e0c3208f8ff5,Taylor Stitch,125,USD,TRUE,4/15/2025 10:59
prod_53b189a201374f31a0e00e2e26dfd1dc,eBay - spotisbuff,95,USD,FALSE,4/14/2025 15:41
