"id","catalog_id","price","currency","is_available","date_checked","created_at","merchant","review_count","position","list_price","description","id-2","google_shopping_id","title","link","image_link","price-2","currency-2","is_available-2","last_checked","created_at-2","updated_at","description-2","review_count-2","position-2","sku","brand","source_type","id-3","reference_brand","reference_product","competitor_brand","search_query","active","created_at-3","updated_at-2","reference_product_description","min_price","max_price","site_id"
"price_bf58fc30003d40fc93fb98f09ea1bfb6","prod_35915b4cdf6343009f8aba70750d8819","368.55","USD",True,"2025-07-18 20:06:35.95226","2025-07-18 20:06:39.336693","RTACabinetStore.com",NULL,NULL,"491.4","Bright, crisp and modern, this cabinet line has a versatile appeal. The design incorporates the architectural shaker styling with pleasing proportions.","prod_35915b4cdf6343009f8aba70750d8819",NULL,"DB24","https://www.rtacabinetstore.com/RTA-Kitchen-Cabinets/item/SW5-DB24-3-5PC",NULL,NULL,NULL,True,"2025-06-26 14:46:28.877149","2025-06-26 14:46:28.877149","2025-06-26 14:46:28.877149",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_897502b073e54ee1a1d9fb90162476d9","RTA Cabinet Store","DB24","RTA Cabinet Store","DB24",True,"2025-06-26 14:46:28.87615","2025-06-26 14:46:28.87615",NULL,NULL,NULL,"site_1f22e98c91104993ab412a8ee7fc4726"
"price_5ff15725e15b45128465ae38b1d45528","prod_f43ce6d23ded4c78a9d1d10b64c56306","165","USD",True,"2025-07-18 20:06:35.95226","2025-07-18 20:06:52.036832","LilyAnnCabinets.com",NULL,NULL,NULL,NULL,"prod_f43ce6d23ded4c78a9d1d10b64c56306",NULL,"LST36 (WSH-LS36)","https://www.lilyanncabinets.com/cabinet-organizers-32-ld-banded-wood-lazy-susan-lst36.html",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_fa4ce99fb3484b869b19870a18f3e16c","RTA Cabinet Store","ADD-ON FOR: LS36","Lily Ann Cabinets","ADD-ON FOR: LS36",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_81abd2a969244ff582f74cd8d853e8c2"
"price_8e6c0388ad5c4cee9549649fd5a5aaa7","prod_0eb78646fe864558b7e02be5c0adc8ca","284.03","USD",True,"2025-07-18 20:06:35.95226","2025-07-18 20:06:51.65072","LilyAnnCabinets.com",NULL,NULL,NULL,NULL,"prod_0eb78646fe864558b7e02be5c0adc8ca",NULL,"WSH-W361824","https://www.lilyanncabinets.com/wall-cabinets-wall-cabinet-36-x-18-x-24-colorado-white-shaker.html",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_06841086254949878ccc92befcd84003","RTA Cabinet Store","W361824","Lily Ann Cabinets","W361824",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_81abd2a969244ff582f74cd8d853e8c2"
"price_28b5459185d4481d9d8816aa07bd9895","prod_884aefd8449441faa9517fc2f3f0e38c","198.99","USD",True,"2025-07-18 20:06:35.95226","2025-07-18 20:06:50.026161","LilyAnnCabinets.com",NULL,NULL,NULL,NULL,"prod_884aefd8449441faa9517fc2f3f0e38c",NULL,"WSH-B9FHD","https://www.lilyanncabinets.com/base-cabinets-base-full-height-door-cabinet-9-colorado-white-shaker.html",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_7e92b851a5fc478eab627d0e9a5672d5","RTA Cabinet Store","B09-FH","Lily Ann Cabinets","B09-FH",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_81abd2a969244ff582f74cd8d853e8c2"
"price_5cd3e610f9fb4fdf8d06081875382edf","prod_4a8a752d7aec4bd2839ed70f7b1787ce","450.62","USD",False,"2025-07-18 20:06:35.95226","2025-07-18 20:06:49.51168","LilyAnnCabinets.com",NULL,NULL,NULL,NULL,"prod_4a8a752d7aec4bd2839ed70f7b1787ce",NULL,"WSH-SB36","https://www.lilyanncabinets.com/base-cabinets-sink-base-cabinet-36-colorado-white-shaker.html",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_4f38fd39980a478bb4ffb70c6d896e7c","RTA Cabinet Store","SB36","Lily Ann Cabinets","SB36",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_81abd2a969244ff582f74cd8d853e8c2"
"price_ccde0bec31f048cf80b4a20657abe774","prod_25982b1578b040aa9477991cd7b3e493","129.78","USD",True,"2025-07-18 20:06:35.95226","2025-07-18 20:06:48.507529","LilyAnnCabinets.com",NULL,NULL,NULL,NULL,"prod_25982b1578b040aa9477991cd7b3e493",NULL,"WSH-ACM8","https://www.lilyanncabinets.com/panels-fillers-and-trim-angle-crown-molding-96-colorado-white-shaker.html",NULL,NULL,NULL,True,"2025-06-26 18:43:36.953779","2025-06-26 18:43:36.9548","2025-06-26 18:43:36.9548",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_bbcbd1db49794b80a3b6a5a39a1b06b3","RTA Cabinet Store","Large Crown 8","Lily Ann Cabinets","Large Crown 8",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_81abd2a969244ff582f74cd8d853e8c2"
"price_ed91d24dc2454c59b65a369ec533df1d","prod_8cfff4e69c6c42508da85c57bb1b1189","634.25","USD",False,"2025-07-18 20:06:35.95226","2025-07-18 20:06:47.04488","TheRTAStore.com",NULL,NULL,"906.07","Width 36"" | Height 34-1/2"" | Depth 24"" Lazy susan corner cabinet with a bi-fold door and 2 wood lazy susan shelves. It will take up 36"" of wall space from the corner out, on each wall. **Box may read BER as the SKU code **","prod_8cfff4e69c6c42508da85c57bb1b1189",NULL,"SW-LSB36","https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-36-lazy-susan-base-cabinet-422412-47704.html",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_02e2a18096ec4d8282c923be5adab43b","RTA Cabinet Store","LS36","The RTA Store","LS36",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_0ee8ef005e5b4d4b9e2fd7a78934f1ec"
"price_0b6258ed9ae3455e9df6f222b02e1937","prod_2e1ae857f549418f9acb2b61c213de8d","174.63","USD",False,"2025-07-18 20:06:35.95226","2025-07-18 20:06:46.175643","TheRTAStore.com",NULL,NULL,"249.47","Width 9"" | Height 34-1/2"" | Depth 24"" Base tray cabinet with 1 full height door and no shelves.","prod_2e1ae857f549418f9acb2b61c213de8d",NULL,"SW-BT9","https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-09-base-tray-cabinet-47514.html ",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_771cee4f14d5433d9d8afa2132f622a7","RTA Cabinet Store","B09-FH","The RTA Store","B09-FH",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_0ee8ef005e5b4d4b9e2fd7a78934f1ec"
"price_e4b68a667cfc4b98ae3d2cc03a92c844","prod_f47402eaa01f42f798472d8af1a9776a","348.38","USD",False,"2025-07-18 20:06:35.95226","2025-07-18 20:06:45.716269","TheRTAStore.com",NULL,NULL,"497.68","Width 24"" | Height 34-1/2"" | Depth 24"" 2 door base cabinet with 1 drawer and 1 shelf. Cabinet has butt doors.","prod_f47402eaa01f42f798472d8af1a9776a",NULL,"SW-B24","https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-24-base-cabinet-47588.html ",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_c14df03d0783445d96444a8c2de0559a","RTA Cabinet Store","B24","The RTA Store","B24",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_0ee8ef005e5b4d4b9e2fd7a78934f1ec"
"price_31b22f3be69d461b99fb3288ba0fb60d","prod_7d90057c924043fea8dce514a3a57427","23.49","USD",False,"2025-07-18 20:06:35.95226","2025-07-18 20:06:44.15657","TheRTAStore.com",NULL,NULL,"33.56","Width 96"" | Height 4-1/2"" | Depth 1/4"" Toe kick. This is required if any cabinets will be going side by side to cover the seams and cover the small gap from one cabinet to the next.","prod_7d90057c924043fea8dce514a3a57427",NULL,"SW-TKC","https://www.thertastore.com/kitchen-cabinets/rta-kitchen-cabinets/brilliant-white-shaker/brilliant-white-shaker-96-toe-kick-422352-47763.html ",NULL,NULL,NULL,True,"2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427","2025-06-26 18:37:21.472427",NULL,NULL,NULL,NULL,NULL,"direct_website","comp_0dd0bf8f4ef24e98b4293143988183ff","RTA Cabinet Store","Toe Kick 8","The RTA Store","Toe Kick 8",True,"2025-06-26 18:37:21.467723","2025-06-26 18:37:21.467723",NULL,NULL,NULL,"site_0ee8ef005e5b4d4b9e2fd7a78934f1ec"
